epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.66267,3.92696,6.91172,2.08846,0,0,0,0,3.59673,5.31459,1.76218,4e-05,4e-05,4e-05
2,6.61295,3.79264,5.99737,1.91703,0,0,0,0,2.60349,5.01243,1.50148,9.01e-05,9.01e-05,9.01e-05
3,9.3305,2.84235,5.10385,1.38881,0,0,0,0,1.97937,4.55729,1.28353,0.00012832,0.00012832,0.00012832
4,12.1556,2.32968,4.63311,1.21677,0,0,0,0,1.50953,4.2253,1.1159,0.00015466,0.00015466,0.00015466
5,14.7949,2.86262,5.27402,1.48566,0,0,0,0,1.23118,4.10198,1.0127,0.00016912,0.00016912,0.00016912
6,17.4319,1.96457,4.08077,1.18077,0.00155,0.3,0.00186,0.00036,1.25228,4.03267,0.9578,0.0001717,0.0001717,0.0001717
7,21.0505,1.40635,3.88797,1.00857,0.00156,0.3,0.00193,0.00074,1.40821,3.90147,0.91752,0.0001624,0.0001624,0.0001624
8,24.468,1.96422,4.19464,0.90942,0.00467,0.9,0.00541,0.00285,1.56543,3.79318,0.91355,0.00014122,0.00014122,0.00014122
9,28.0761,1.97863,3.77746,1.00719,0.00467,0.9,0.00541,0.00285,1.56543,3.79318,0.91355,0.00010816,0.00010816,0.00010816
10,32.0012,1.60101,3.3921,1.00929,0.00519,1,0.01029,0.00493,1.5504,3.69414,0.91046,6.322e-05,6.322e-05,6.322e-05
