epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.09183,4.73394,8.44314,2.76905,0,0,0,0,3.59628,5.51925,1.885,0,0,0
2,8.31063,4.77973,6.94756,2.43966,0,0,0,0,3.36973,5.48022,1.8317,1.802e-05,1.802e-05,1.802e-05
3,13.4579,3.30317,6.62262,1.84144,0,0,0,0,3.19426,5.34651,1.74481,3.208e-05,3.208e-05,3.208e-05
4,18.8566,4.20695,8.37298,2.22188,0,0,0,0,2.97997,5.21361,1.66487,4.218e-05,4.218e-05,4.218e-05
5,22.975,4.11851,9.16946,2.32812,0,0,0,0,2.84021,5.12908,1.61022,4.832e-05,4.832e-05,4.832e-05
6,27.14,3.51096,5.22985,1.87435,0,0,0,0,2.71616,4.98587,1.51906,5.05e-05,5.05e-05,5.05e-05
7,31.5794,3.20923,5.34424,1.74201,0,0,0,0,2.45514,4.84291,1.42994,4.872e-05,4.872e-05,4.872e-05
8,35.7097,2.92346,5.91785,1.32406,0,0,0,0,2.2196,4.69876,1.35942,4.298e-05,4.298e-05,4.298e-05
9,40.331,3.16706,5.62996,1.43479,0,0,0,0,2.103,4.55017,1.30017,3.328e-05,3.328e-05,3.328e-05
10,44.5402,2.1542,4.81309,1.26584,0,0,0,0,2.05468,4.49907,1.26407,1.962e-05,1.962e-05,1.962e-05
